
Guatemala,240555,251325,258624,-1,-1,178689,104652,47316,104195,140173,

Other small states,283669,263490,258282,271376,342037,350665,293388,266251,239324,234309,

IDA & IBRD total,43491780,41519976,39675592,38064283,39634795,44957472,37509562,28664931,27867932,28476347,

Myanmar,658090,730836,-1,-1,-1,-1,237193,300138,273482,-1,

Togo,51386,27100,48141,80253,79798,42131,875,11386,26541,21323,

Malta,3755,1249,887,854,699,472,-1,-1,-1,-1,

IDA only,13067580,12791422,13475520,15803958,18114098,18656689,16735805,12463102,11747306,12184942,

Middle East & North Africa (IDA & IBRD countries),2396394,2018054,1899378,1923461,1920159,2178505,1397994,1066013,815567,994408,

Middle East & North Africa,2710680,2380266,2339194,2423829,2495547,2678440,1803972,1326258,881571,1070336,

Eswatini,18071,18292,21337,25383,26350,22449,-1,16846,10534,15963,

Iraq,144749,91198,55629,80873,279715,204337,59929,37653,-1,-1,

United Kingdom,87657,113033,86838,74442,61963,-1,10456,31483,26147,12927,

Mozambique,363644,359595,370621,374425,503589,619548,586077,271875,206738,152787,

Netherlands,68872,69221,73539,49996,31766,2057,-1,-1,-1,8082,

South Asia (IDA & IBRD),13650753,13012104,13265739,12930132,12577684,13089211,12354223,8022317,8251406,7833761,

Low & middle income,43206458,41233783,39496806,37864853,39434258,44618437,37319101,28524488,27789126,28401012,

Panama,24432,16792,23645,25385,24250,11032,5074,2742,11036,25789,

Europe & Central Asia,1725687,1507184,1529208,1282026,1129575,981112,644383,647430,538003,538246,

Thailand,779784,-1,-1,-1,-1,-1,-1,27196,-1,-1,

Guyana,7962,7866,7829,-1,5104,5377,3813,2259,1218,-1,

Korea,54923,58941,27625,36837,-1,-1,35368,7245,55119,26491,

Costa Rica,20541,15037,17297,27091,29466,-1,-1,-1,3172,4675,

Least developed countries: UN classification,12537821,12176892,12867361,15150001,17464545,17936183,15967876,11593563,10987519,11801415,

Algeria,256043,177908,191963,201364,162260,204505,122241,59185,-1,-1,

Mexico,840881,-1,-1,-1,-1,226253,-1,-1,-1,-1,

Oman,50760,44080,42168,43184,47132,37351,27202,-1,2862,-1,

Lower middle income,25833959,23699919,21183062,22113172,23084167,24784007,21973049,16122868,15971931,15790222,

Spain,116270,28283,-1,18344,8449,-1,-1,-1,-1,39852,

Egypt Arab Rep.,634632,700293,-1,-1,266398,352904,335330,-1,59251,-1,

Cuba,31546,-1,35497,43415,29580,7065,4367,11664,8327,13659,

Cyprus,8300,11212,10598,8239,5461,1245,490,-1,554,374,

High income,4191842,3574538,2338942,1956942,1641054,1508541,1223716,765762,744230,496179,

Rwanda,136199,152614,-1,-1,-1,84033,120489,-1,-1,35561,

South Africa,656359,-1,-1,-1,472759,409840,326991,227722,-1,430582,

OECD members,5279266,4346485,2539930,2209467,1715918,1300269,794719,548255,939762,680501,

Arab World,3612092,3520243,3575681,3599304,3953615,3972167,3464495,3159056,3118811,3431513,

Portugal,56224,26389,18449,-1,3184,-1,-1,-1,708,2567,

Malaysia,99403,-1,-1,-1,43143,49033,34787,77077,37961,23604,

El Salvador,105267,-1,-1,-1,-1,92110,25962,-1,26255,-1,

Burundi,222232,242299,222173,184929,232493,-1,284494,125807,37007,68865,

Syrian Arab Republic,29901,12144,43574,22291,14545,5412,-1,-1,259499,-1,

Trinidad and Tobago,8047,6047,8369,8066,11630,8072,1989,1220,556,-1,

Post-demographic dividend,4200737,3456304,2100466,1595079,1077266,945885,758342,508109,669267,469053,

Early-demographic dividend,24399184,23062269,21393790,20832246,20763024,21744046,19215364,13244013,12003226,11146296,

World,47665580,45061060,42009392,39977948,41171480,46306845,38637433,29377682,28605942,29046177,

Middle East & North Africa (excluding high income),2406627,2030093,1912795,1939056,1938420,2197332,1421627,1097735,830025,1003113,

France,68905,21120,59790,75856,33583,28760,76440,15557,19821,9530,

Kuwait,14238,9929,9716,8710,39726,3263,8851,9424,-1,6144,

Paraguay,55731,44646,30950,33673,29127,19056,12158,30505,42921,-1,

Peru,240895,-1,146259,-1,175221,123831,34498,27286,17942,-1,

Bahrain,2118,2122,3349,1040,1060,573,3449,5052,3363,774,

Cameroon,165858,167581,178651,190039,231306,-1,-1,-1,86808,49396,

Small states,325572,310141,307496,313241,387420,394758,335410,307779,271887,266283,

South Asia,13660000,13020000,13260000,12920000,12580000,13080000,12360000,8022317,8251406,7833761,

Ireland,6488,9176,20370,27777,25912,15695,778,-1,-1,-1,

European Union,798508,728266,765272,725325,720133,364828,279412,223270,206355,252783,

Ecuador,104284,95720,77572,-1,69925,46741,26475,38104,-1,-1,

Greece,32263,28741,32911,37291,47809,30425,6708,11083,5991,4803,

Latin America & the Caribbean (IDA & IBRD countries),3144491,2732555,2051173,2219272,2206895,1780827,799220,765237,953945,973244,

India,10100315,-1,-1,-1,6821828,-1,6903572,2922066,2983781,-1,

Luxembourg,1525,1580,2467,2418,-1,452,588,325,799,209,

IBRD only,24615126,22953355,21284094,15874868,13949810,17736179,13031168,8800055,8175649,8280849,

Lesotho,55990,61116,67489,67707,74704,84134,42744,25561,17275,8781,

Turkiye,160269,-1,-1,-1,146293,113278,-1,43853,143594,132671,

Latin America & Caribbean,3178511,2736189,2118640,2300023,2274455,1818006,830100,803283,988953,1010475,

Euro area,578560,413780,410953,348731,323759,159370,149684,83501,104022,124275,

Middle income,34931500,32621800,30520696,27543149,26984544,32044805,25275463,19073567,19140926,18974052,

Australia,38490,18039,15922,20633,24571,53797,47268,-1,25429,5407,

Nicaragua,105497,-1,114888,127189,117622,97380,46148,12972,19224,-1,

Latin America & Caribbean (excluding high income),2882782,2456029,1879789,2029405,2061174,1484881,638661,660856,863580,822807,
