
Other small states,283669,263490,258282,271376,342037,350665,293388,266251,239324,234309,

IDA only,13067580,12791422,13475520,15803958,18114098,18656689,16735805,12463102,11747306,12184942,

Fragile and conflict affected situations,11128533,11279401,10067568,11927401,14269712,16026854,15396239,12995690,12245633,13395145,

Heavily indebted poor countries (HIPC),10778605,10722097,11020696,12956845,15714792,16120460,14817001,11095040,10165047,10514389,

Iraq,144749,91198,55629,80873,279715,204337,59929,37653,-1,-1,

Mozambique,363644,359595,370621,374425,503589,619548,586077,271875,206738,152787,

New Zealand,696,-1,640,-1,3291,2225,-1,-1,3782,3264,

Sub-Saharan Africa,-1,14322554,13622151,16799024,19586295,20470530,18284236,14461258,14345749,15701574,

Iran,-1,-1,261759,364346,124716,430964,150969,89343,72251,-1,

Haiti,-1,-1,245710,252981,-1,271092,-1,-1,-1,-1,

Pre-demographic dividend,11632648,11062143,10526222,13223622,15924194,17100813,15340669,12699274,13430171,15159533,

Comoros,-1,-1,-1,5095,9277,15515,12563,9203,6338,10136,

Angola,-1,-1,300681,-1,-1,477948,-1,230080,192980,-1,

Sao Tome and Principe,-1,-1,307,721,314,2272,210,1098,1786,1428,

China,-1,-1,-1,1013007,1304539,5378221,-1,-1,-1,-1,

Afghanistan,556990,-1,-1,-1,861302,-1,-1,-1,-1,-1,

Morocco,-1,556276,385762,454005,648869,490807,236418,163886,100281,62237,

Zambia,81040,97050,122080,137242,228404,284168,287985,125206,175192,281430,

Tanzania,-1,-1,664187,1033002,1282420,1528851,975733,145742,654079,955604,

Qatar,1082,702,604,2239,5317,-1,1627,3237,4479,1978,

Costa Rica,20541,15037,17297,27091,29466,-1,-1,-1,3172,4675,

Least developed countries: UN classification,12537821,12176892,12867361,15150001,17464545,17936183,15967876,11593563,10987519,11801415,

Congo Dem. Rep.,276651,297971,297408,715898,1018453,1521056,-1,-1,-1,-1,

Niger,359927,-1,-1,434613,498450,592872,584699,592048,530252,607350,

Norway,-1,2480,4396,4967,1559,12637,1013,2664,1150,-1,

Central African Republic,42519,55070,45182,70872,71900,-1,-1,121102,97152,-1,

Jordan,7405,1704,29414,40152,-1,39639,30562,46515,120538,135958,

Argentina,73318,58367,-1,-1,85545,-1,-1,-1,-1,-1,

