Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,58,,62,92,28,14,,,,220,,,,,,,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,556990,,,,,,,,,,,,,,,,,,,861302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,290468,310894,,,,,,,,,,,,,,,477948,,,,,,,,,,214136,246024,215471,170490,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3469,6463,9222,,11586,12820,,,,12549,17511,16575,14461,10140,6487,,,,,,,4748,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,3591617,3670725,3612047,3593582,3592489,3585678,3478357,3496246,3532798,3508137,3492774,3554684,3613424,3648922,3568601,3604712,3596543,3552822,3578060,3664387,3642111,3754281,4138594,4196813,4036279,4161797,3988220,3935591,4003704,3771526,3688576,3558171,3459326,3341408,3274995,3316260,3353654,3160572,3015054,2949742,2778481,2936995,3061381,3299515,3517686,3543997,3605393,3436666,3229944,3341569,3396216,
United Arab Emirates,,,,,,,,,7291,,11083,13823,12371,15957,17378,19318,20950,11894,8874,4658,1347,1155,4676,11380,15116,14800,19195,25022,26140,,,,,,,,,8679,,,,,13559,16215,,,,,,,,
Argentina,94757,,,,51880,58367,,,,,,,,,,,,,,,,85545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11240,11555,,8482,5634,2445,,,,4010,3000,2845,4862,4674,5358,5333,6050,7976,9526,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,,277,92,,173,,,,
Australia,,27782,,41283,46407,22627,13451,,,,,,6964,13233,27571,28295,23673,20212,15810,15177,17656,22443,24513,27807,30438,48845,46458,52444,57043,64195,68051,,,39459,34294,,,,,,,27006,23852,,,,,3862,4495,7866,16412,
Austria,,,,,,,,,,,,,,,,,,,,10732,,,,,,,,,,,449,2464,6868,7941,7499,5913,4616,4225,4539,4272,3621,4719,2621,1496,1117,991,477,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,5799,7632,27541,39019,56411,38359,34349,40321,17315,29822,38105,37274,36573,34765,31950,28984,36402,36214,30733,32323,23500,17642,185,,,,8799,12763,34346,44017,
Burundi,,,,222232,,,,,242299,,243209,237958,226177,207374,196149,188150,188703,179917,182946,,,,,232493,,,,,,,332075,276008,281457,265158,267773,251409,155390,110912,45746,65579,37007,,,,,,,51105,69832,85660,,
Belgium,,,,,,,,17215,,11503,9011,14183,12779,26924,29537,30847,24582,19804,15542,,,17643,22528,9731,11815,11386,9635,,,,3667,,848,4176,10762,11813,9931,6690,4406,4846,5913,5491,4210,4429,4559,3065,2069,1066,2853,5341,,
Benin,,,,,,,,,,,,,,,110971,111825,125643,,137733,140628,197369,,152178,136570,140817,134808,129992,118769,,,,,,,,,33953,,24957,,,,,,,,,,,32693,37876,
